국가별,국내총생산,수출액,수입액,총인구,소비자물가지수,인터넷이용률,주가지수
헝가리,157.9,123815,115979,9708,117.7,76.1,179.031
한국,1725.2,604860,535202,51607,104.5,95.9,115.704
핀란드,275.9,75869,78624,5523,111.2,88.9,115.051
프랑스,2787.9,581773,671434,64991,108.8,82,111.781
폴란드,587.1,263494,268880,37922,111.6,77.5,114.101
포르투갈,241.3,68310,88972,10256,110.3,74.7,122.551
터키,771.4,168228,222444,82340,203.5,71,126.263
콜롬비아,333.6,41905,51230,49661,136.2,62.3,116.327
캐나다,1716.3,451657,468706,37075,114.5,91,109.705
칠레,298.3,118,117,18729,128.6,82.3,145.25
체코,245,202751,185102,10666,113.3,80.7,109.13
일본,4954.8,738195,748526,127202,105,84.6,111.47
이탈리아,2085.8,547339,501297,60627,110,74.4,103.897
이스라엘,370.6,62159,79261,8382,107.2,81.6,88.734
오스트리아,455.5,177296,184310,8891,116.3,87.7,139.435
오스트레일리아,1433.9,257212,235374,24898,117.9,86.5,109.205
영국,2860.7,468137,652332,67142,117.6,94.9,111.528
에스토니아,30.7,17019,19153,1323,119.4,89.4,144.168
아일랜드,382.7,164794,107669,4819,105.6,84.5,106.529
아이슬란드,25.7,5562,7655,337,125.2,99,114.735
슬로베니아,54,44200,42267,2078,109.3,79.8,112.906
스페인,1419.7,343836,386073,46693,110.2,86.1,89.796
스위스,705.1,310836,279600,8526,99.2,89.7,104.92
스웨덴,555.5,165938,170592,9972,108.6,92.1,110.922
벨기에,542.7,468637,454735,11482,115.5,88.7,96.552
미국,20580.2,1664085,2614327,327096,115.2,87.3,118.408
리투아니아,53.5,33337,36502,2801,115.7,79.7,140.653
룩셈부르크,70.9,16204,24056,604,113.1,97.1,99.566
라트비아,34.3,14850,18530,1928,113.7,83.6,211.054
독일,3949.5,1560537,1284352,83124,111.2,89.7,107.878
덴마크,355.7,108557,101670,5752,109.5,97.6,111.266
뉴질랜드,207.9,39673,43790,4743,112.4,90.8,134.897
노르웨이,434.2,122672,87430,5338,117.7,96.5,146.925
네덜란드,914.1,726696,645501,17060,112.9,94.7,112.654
그리스,218.1,39495,63850,10522,101.7,73,100.897
